midi_note,note_name,event,velocity,delta,cumulative_time
55,G3,note_off,98,0.06993,7937.05
74,D5,note_on,98,0.034965,7972.02
74,D5,note_off,98,0.06993,8041.95
55,G3,note_on,98,0.034965,8076.91
55,G3,note_off,98,0.06993,8146.84
67,G4,note_on,98,0.034965,8181.81
67,G4,note_off,98,0.06993,8251.74
55,G3,note_on,98,0.034965,8286.7
55,G3,note_off,98,0.06993,8356.63
69,A4,note_on,98,0.034965,8391.6
69,A4,note_off,98,0.06993,8461.53
54,F#3,note_on,98,0.034965,8496.49
54,F#3,note_off,98,0.06993,8566.42
54,F#3,note_on,98,0.034965,8601.39
54,F#3,note_off,98,0.06993,8671.32
66,F#4,note_on,98,0.034965,8706.28
66,F#4,note_off,98,0.06993,8776.21
54,F#3,note_on,98,0.034965,8811.18
54,F#3,note_off,98,0.06993,8881.11
54,F#3,note_on,98,0.034965,8916.07
54,F#3,note_off,98,0.06993,8986.0
69,A4,note_on,98,0.034965,9020.97
69,A4,note_off,98,0.06993,9090.9
54,F#3,note_on,98,0.034965,9125.86
54,F#3,note_off,98,0.06993,9195.79
54,F#3,note_on,98,0.034965,9230.76
54,F#3,note_off,98,0.06993,9300.69
74,D5,note_on,98,0.034965,9335.65
74,D5,note_off,98,0.06993,9405.58
54,F#3,note_on,98,0.034965,9440.55
54,F#3,note_off,98,0.06993,9510.48
54,F#3,note_on,98,0.034965,9545.44
54,F#3,note_off,98,0.06993,9615.37
69,A4,note_on,98,0.034965,9650.34
69,A4,note_off,98,0.06993,9720.27
69,A4,note_on,98,0.034965,9755.23
69,A4,note_off,98,0.06993,9825.16
66,F#4,note_on,98,0.034965,9860.13
66,F#4,note_off,98,0.06993,9930.06
54,F#3,note_on,98,0.034965,9965.02
54,F#3,note_off,98,0.06993,10034.95
67,G4,note_on,98,0.034965,10069.92
67,G4,note_off,98,0.06993,10139.85
52,E3,note_on,98,0.034965,10174.81
52,E3,note_off,98,0.06993,10244.74
52,E3,note_on,98,0.034965,10279.71
52,E3,note_off,98,0.06993,10349.64
64,E4,note_on,98,0.034965,10384.6
64,E4,note_off,98,0.06993,10454.53
52,E3,note_on,98,0.034965,10489.5
52,E3,note_off,98,0.06993,10559.43
52,E3,note_on,98,0.034965,10594.39
52,E3,note_off,98,0.06993,10664.32
67,G4,note_on,98,0.034965,10699.29
67,G4,note_off,98,0.06993,10769.22
52,E3,note_on,98,0.034965,10804.18
52,E3,note_off,98,0.06993,10874.11
52,E3,note_on,98,0.034965,10909.08
52,E3,note_off,98,0.06993,10979.01
64,E4,note_on,98,0.034965,11013.97
64,E4,note_off,98,0.06993,11083.9
52,E3,note_on,98,0.034965,11118.87
52,E3,note_off,98,0.06993,11188.8
52,E3,note_on,98,0.034965,11223.76
52,E3,note_off,98,0.06993,11293.69
67,G4,note_on,98,0.034965,11328.66
67,G4,note_off,98,0.06993,11398.59
52,E3,note_on,98,0.034965,11433.55
52,E3,note_off,98,0.06993,11503.48
64,E4,note_on,98,0.034965,11538.45
64,E4,note_off,98,0.06993,11608.38
52,E3,note_on,98,0.034965,11643.34
52,E3,note_off,98,0.06993,11713.27
71,B4,note_on,98,0.034965,11748.24
71,B4,note_off,98,0.06993,11818.17
71,B4,note_on,98,0.034965,11853.13
71,B4,note_off,98,0.06993,11923.06
52,E3,note_on,98,0.034965,11958.03
52,E3,note_off,98,0.06993,12027.96
67,G4,note_on,98,0.034965,12062.92
67,G4,note_off,98,0.06993,12132.85
52,E3,note_on,98,0.034965,12167.82
52,E3,note_off,98,0.06993,12237.75
52,E3,note_on,98,0.034965,12272.71
52,E3,note_off,98,0.06993,12342.64
76,E5,note_on,98,0.034965,12377.61
76,E5,note_off,98,0.06993,12447.54
52,E3,note_on,98,0.034965,12482.5
52,E3,note_off,98,0.06993,12552.43
52,E3,note_on,98,0.034965,12587.4
52,E3,note_off,98,0.06993,12657.33
71,B4,note_on,98,0.034965,12692.29
71,B4,note_off,98,0.06993,12762.22
52,E3,note_on,98,0.034965,12797.19
52,E3,note_off,98,0.06993,12867.12
52,E3,note_on,98,0.034965,12902.08
52,E3,note_off,98,0.06993,12972.01
78,F#5,note_on,98,0.034965,13006.98
78,F#5,note_off,98,0.06993,13076.91
52,E3,note_on,98,0.034965,13111.87
52,E3,note_off,98,0.06993,13181.8
79,G5,note_on,98,0.034965,13216.77
79,G5,note_off,98,0.06993,13286.7
79,G5,note_on,98,0.034965,13321.66
79,G5,note_off,98,0.06993,13391.59
76,E5,note_on,98,0,13426.56
64,E4,note_on,98,0,13426.56
76,E5,note_off,98,0.04370625,13470.27
64,E4,note_off,98,0.026223750000000004,13496.49
78,F#5,note_on,98,0.034965,13531.45
52,E3,note_on,98,0,13531.45
78,F#5,note_off,98,0.04370625,13575.16
52,E3,note_off,98,0.026223750000000004,13601.38
79,G5,note_on,98,0.034965,13636.35
52,E3,note_on,98,0,13636.35
79,G5,note_off,98,0.04370625,13680.06
52,E3,note_off,98,0.026223750000000004,13706.28
83,B5,note_on,98,0.034965,13741.24
59,B3,note_on,98,0,13741.24
83,B5,note_off,98,0.04370625,13784.95
59,B3,note_off,98,0.026223750000000004,13811.17
52,E3,note_on,98,0.034965,13846.14
52,E3,note_off,98,0.06993,13916.07
52,E3,note_on,98,0.034965,13951.03
52,E3,note_off,98,0.06993,14020.96
64,E4,note_on,98,0.034965,14055.93
64,E4,note_off,98,0.06993,14125.86
52,E3,note_on,98,0.034965,14160.82
52,E3,note_off,98,0.06993,14230.75
76,E5,note_on,98,0.034965,14265.72
52,E3,note_on,98,0,14265.72
76,E5,note_off,98,0.04370625,14309.43
52,E3,note_off,98,0.026223750000000004,14335.65
78,F#5,note_on,98,0.034965,14370.61
59,B3,note_on,98,0,14370.61
78,F#5,note_off,98,0.04370625,14414.32
59,B3,note_off,98,0.026223750000000004,14440.54
79,G5,note_on,98,0.034965,14475.51
52,E3,note_on,98,0,14475.51
79,G5,note_off,98,0.04370625,14519.22
52,E3,note_off,98,0.026223750000000004,14545.44
83,B5,note_on,98,0.034965,14580.4
52,E3,note_on,98,0,14580.4
83,B5,note_off,98,0.04370625,14624.11
52,E3,note_off,98,0.026223750000000004,14650.33
64,E4,note_on,98,0.034965,14685.3
64,E4,note_off,98,0.06993,14755.23
52,E3,note_on,98,0.034965,14790.19
52,E3,note_off,98,0.06993,14860.12
66,F#4,note_on,98,0.034965,14895.09
66,F#4,note_off,98,0.06993,14965.02
52,E3,note_on,98,0.034965,14999.98
52,E3,note_off,98,0.06993,15069.91
76,E5,note_on,98,0.034965,15104.88
